 R   <X|C|X>   <X|C|A>   <X|C|B>   <X|C|C>   <A|C|X>   <A|C|A>   <A|C|B>   <A|C|C>   <B|C|X>   <B|C|A>   <B|C|B>   <B|C|C>   <C|C|X>   <C|C|A>   <C|C|B>   <C|C|C> 
21.67 1.0 0.0 0.0 0.0 0.0 0.9967921818281894 -0.0750948854700945 0.027678438818596454 0.0 0.04872744324429376 0.29509311384002523 -0.954226049168578 0.0 0.06349015843403927 0.9525137571528179 0.29780570986619465
21.68 1.0 0.0 0.0 0.0 0.0 0.9967988534283042 -0.07505437487375628 0.027547741675975807 0.0 0.04867243682813996 0.2963271904745169 -0.9538463622658567 0.0 0.0634275777202516 0.952133768001504 0.2990317023486762
21.69 1.0 0.0 0.0 0.0 0.0 0.9968055029710498 -0.07501378356717484 0.027417382791135043 0.0 0.04861832917689881 0.29757098162013884 -0.9534618470291645 0.0 0.06336454424099495 0.9517489953059223 0.3002674561660632
21.7 1.0 0.0 0.0 0.0 0.0 0.9968121306586151 -0.07497311067643778 0.02728736168407002 0.0 0.0485651247990209 0.29882458414665003 -0.9530724286954604 0.0 0.06330105227245195 0.9513593643567501 0.3015130682501968
21.71 1.0 0.0 0.0 0.0 0.0 0.9968187366926923 -0.07493235532026589 0.02715767788514506 0.0 0.04851282826091116 0.3000880960129376 -0.952678031219668 0.0 0.06323709600522319 0.9509647991661524 0.30276863662378684
21.72 1.0 0.0 0.0 0.0 0.0 0.9968253212744802 -0.074891516609995 0.027028330935228835 0.0 0.04846144418549138 0.30136161625144564 -0.9522785772472625 0.0 0.06317266954322034 0.9505652224403739 0.304034260384785
21.73 1.0 0.0 0.0 0.0 0.0 0.9968318846046385 -0.074850593650144 0.02689932038623793 0.0 0.048410977233104995 0.30264524468452214 -0.9518739880688206 0.0 0.06310776690660733 0.9501605555340039 0.30531003942212837
21.74 1.0 0.0 0.0 0.0 0.0 0.9968384268763743 -0.07480958561772606 0.026770645856538867 0.0 0.048361429710827145 0.30393904563335167 -0.9514641811521866 0.0 0.0630423825785076 0.9497507159428564 0.3065960380504782
21.75 1.0 0.0 0.0 0.0 0.0 0.9968449482992372 -0.07476849148938196 0.02664230684099856 0.0 0.048312809788715105 0.30524317266975 -0.9510490785087361 0.0 0.06297650961972305 0.9493356258053767 0.3078924100169531
21.76 1.0 0.0 0.0 0.0 0.0 0.9968514490719494 -0.07472731035302053 0.02651430292824257 0.0 0.04826512211179381 0.30655772608625254 -0.9506285970783636 0.0 0.06291014181980682 0.9489152021332734 0.3091992556798977
21.77 1.0 0.0 0.0 0.0 0.0 0.9968579293928239 -0.07468604128836434 0.02638663371758317 0.0 0.04821837139581147 0.3078828074959457 -0.9502026523762979 0.0 0.06284327287118181 0.9484893605174953 0.31051667672027866
21.78 1.0 0.0 0.0 0.0 0.0 0.9968643894597654 -0.07464468336696757 0.026259298819179863 0.0 0.048172562424715 0.30921851980039883 -0.9497711584645786 0.0 0.06277589636828268 0.9480580150996941 0.3118447761095275
21.79 1.0 0.0 0.0 0.0 0.0 0.9968708294702722 -0.074603235652234 0.02613229785420032 0.0 0.048127700048125686 0.3105649671575917 -0.949334027923533 0.0 0.06270800580669808 0.9476210785436879 0.3131836580773791
21.8 1.0 0.0 0.0 0.0 0.0 0.9968772496214364 -0.07456169719943483 0.026005630454980652 0.0 0.04808378917881451 0.31192225494984915 -0.9488911718232508 0.0 0.06263959458231252 0.9471784620069242 0.3145334280797167
21.81 1.0 0.0 0.0 0.0 0.0 0.9968836501099461 -0.07452006705572667 0.025879296265186397 0.0 0.04804083479017782 0.31329048975176815 -0.9484424996950616 0.0 0.06257065599044857 0.9467300751119434 0.3158941927664098
21.82 1.0 0.0 0.0 0.0 0.0 0.9968900311320857 -0.07447834426016935 0.02575329493997279 0.0 0.047998841913712696 0.3146697792981522 -0.9479879195030093 0.0 0.06250118322500875 0.9462758259178412 0.3172660599491596
21.83 1.0 0.0 0.0 0.0 0.0 0.9968963928837379 -0.07443652784374392 0.025627626146145763 0.0 0.047957815636492575 0.31606023245193837 -0.9475273376153303 0.0 0.06243116937761776 0.945815620891733 0.3186491385693364
21.84 1.0 0.0 0.0 0.0 0.0 0.9969027355586878 -0.07439461685222046 0.025502289563595792 0.0 0.04791776043833804 0.31746194871712374 -0.9470606603459764 0.0 0.0623606077177202 0.9453493664359043 0.3200435281909771
21.85 1.0 0.0 0.0 0.0 0.0 0.9969090593470651 -0.07435261036718936 0.025377284886630058 0.0 0.04787867958206119 0.3188750085920279 -0.9465877953699472 0.0 0.06228949195009621 0.9448769702899227 0.3214493093357129
21.86 1.0 0.0 0.0 0.0 0.0 0.9969153644535138 -0.07431050726131841 0.02525261181049075 0.0 0.04784058218389194 0.3202995855275983 -0.9461086348769446 0.0 0.06221781320450316 0.9443983248381074 0.3228666556535051
21.87 1.0 0.0 0.0 0.0 0.0 0.9969216510716445 -0.07426830654255051 0.025128270050699054 0.0 0.04780347326505088 0.32173578841575995 -0.9456230791918753 0.0 0.06214556426674253 0.9439133305137082 0.32429567611206284
21.88 1.0 0.0 0.0 0.0 0.0 0.9969279193947487 -0.07422600720980224 0.02500425933517221 0.0 0.04776735791968281 0.3231837275907641 -0.945131026829955 0.0 0.06207273780329602 0.9434218859446996 0.3257364811234115
21.89 1.0 0.0 0.0 0.0 0.0 0.9969341696157955 -0.07418360825303465 0.02488057940438671 0.0 0.047732241310797625 0.3246435147728257 -0.9446323744718331 0.0 0.06199932636112038 0.9429238879288582 0.32718918248739504
21.9 1.0 0.0 0.0 0.0 0.0 0.9969404019274299 -0.0741411086533245 0.02475723001154227 0.0 0.04769812866621138 0.32611526301175325 -0.9441270169387181 0.0 0.06192532236744252 0.9424192314088424 0.3286538933351697
21.91 1.0 0.0 0.0 0.0 0.0 0.9969466165219691 -0.07409850738293505 0.02463421092272505 0.0 0.04766502527448716 0.3275990866305858 -0.9436148471675014 0.0 0.061850718129554366 0.9419078094472698 0.3301307280727069
21.92 1.0 0.0 0.0 0.0 0.0 0.9969528135914001 -0.07405580340538724 0.024511521917071562 0.0 0.047632936480876145 0.32909510116922336 -0.943095756185883 0.0 0.061775505834608 0.9413895132017968 0.33161980232428734
21.93 1.0 0.0 0.0 0.0 0.0 0.9969589933273773 -0.0740129956755306 0.024389162786932123 0.0 0.04760186768325852 0.330603423328062 -0.9425696330874962 0.0 0.06169967754941057 0.9408642319001966 0.33312123287600104
21.94 1.0 0.0 0.0 0.0 0.0 0.9969651559212187 -0.07397008313961426 0.024267133338034312 0.0 0.047571824328084426 0.3321241709116286 -0.9420363650070313 0.0 0.06162322522021919 0.9403318528154377 0.33463513761924685
21.95 1.0 0.0 0.0 0.0 0.0 0.9969713015595282 -0.0739270648011233 0.024145433373988976 0.0 0.047542810311968865 0.33365743588747154 -0.9414958492508408 0.0 0.061546141834287575 0.9397922733486365 0.33616160856418076
21.96 1.0 0.0 0.0 0.0 0.0 0.9969774304311527 -0.07388393961624022 0.024024062721359693 0.0 0.047514830513677546 0.3352033270939799 -0.940947973936964 0.0 0.061468419571722166 0.9392453817447591 0.337700754619467
21.97 1.0 0.0 0.0 0.0 0.0 0.996983542736893 -0.07384070634797 0.023903021264574633 0.0 0.04748789432823451 0.336762029846519 -0.9403925909948633 0.0 0.06139004722712302 0.9386910301979564 0.33925276129882354
21.98 1.0 0.0 0.0 0.0 0.0 0.9969896386657988 -0.07379736392236833 0.023782308861293185 0.0 0.04746200702854982 0.33833366028454154 -0.939829581969546 0.0 0.06131101650093968 0.9381291003978307 0.34081774482263405
21.99 1.0 0.0 0.0 0.0 0.0 0.9969957184066738 -0.07375391125569103 0.023661925383740352 0.0 0.047437173953493464 0.33991833600526117 -0.9392588260353871 0.0 0.061231318944586825 0.9375594716683832 0.34239582287061543
22.0 1.0 0.0 0.0 0.0 0.0 0.9970017821480678 -0.0737103472545454 0.023541870718850916 0.0 0.04741340050189133 0.34151617597449413 -0.9386801999860804 0.0 0.06115094596165626 0.9369820209578613 0.3439871144924686
22.01 1.0 0.0 0.0 0.0 0.0 0.9970078300782681 -0.07366667081604139 0.023422144768414203 0.0 0.04739069212652131 0.34312730043749234 -0.9380935782245938 0.0 0.061069888809129294 0.9363966228286092 0.34559174001852094
22.02 1.0 0.0 0.0 0.0 0.0 0.9970138623852919 -0.07362288082794287 0.02330274744921846 0.0 0.047369054328109325 0.3447518308297823 -0.937498832753121 0.0 0.06098813859858886 0.9358031494469157 0.34720982097037456
22.03 1.0 0.0 0.0 0.0 0.0 0.9970198792568779 -0.07357897616881881 0.023183678693195212 0.0 0.04734849264932531 0.34638988968800355 -0.9368958331630347 0.0 0.060905686297431635 0.9352014705728625 0.3488414799715543
22.04 1.0 0.0 0.0 0.0 0.0 0.9970258808804783 -0.07353495570819459 0.023064938447564055 0.0 0.04732901266877935 0.3480416005607422 -0.9362844466248412 0.0 0.06082252273008042 0.9345914535501747 0.35048684065815044
22.05 1.0 0.0 0.0 0.0 0.0 0.9970318674432507 -0.07349081830670315 0.022946526674976788 0.0 0.04731061999501763 0.3497070879193722 -0.9356645378781314 0.0 0.060738638579196105 0.9339729632960679 0.3521460275894696
22.06 1.0 0.0 0.0 0.0 0.0 0.99703783912293 -0.07344656295742231 0.022828443323488958 0.0 0.04729331756326215 0.3513864280717155 -0.9350360055625105 0.0 0.06065402725946074 0.9333458985277546 0.3538191170907518
22.07 1.0 0.0 0.0 0.0 0.0 0.9970437961101608 -0.07340218844017349 0.022710688400617227 0.0 0.047277112236667966 0.3530797690974836 -0.9343986931858634 0.0 0.060568677882074484 0.9327101029861459 0.35550625736173774
22.08 1.0 0.0 0.0 0.0 0.0 0.9970497386022295 -0.07335769341859079 0.022593261952771556 0.0 0.04726201294877413 0.3547872971247553 -0.9337524140607534 0.0 0.06048257722785857 0.932065390300537 0.35720763470438766
22.09 1.0 0.0 0.0 0.0 0.0 0.9970556667837632 -0.07331307673892565 0.022476164001573224 0.0 0.0472480249919414 0.35650913259615885 -0.9330970281671342 0.0 0.060395715824870945 0.9314116206305474 0.35892336963920946
22.1 1.0 0.0 0.0 0.0 0.0 0.9970615808392024 -0.07326833723700382 0.022359394585287767 0.0 0.047235153702186006 0.3582453972258369 -0.9324323924145019 0.0 0.06030808401888686 0.9307486510709136 0.3606535839588481
22.11 1.0 0.0 0.0 0.0 0.0 0.997067480952784 -0.07322347373849573 0.022242953758943862 0.0 0.04722340445090014 0.35999621386894937 -0.9317583606625055 0.0 0.06021967197703436 0.9300763356719093 0.362398400597338
22.12 1.0 0.0 0.0 0.0 0.0 0.9970733673085268 -0.07317848505918668 0.022126841594452277 0.0 0.04721278263657245 0.3617617063911759 -0.9310747837415584 0.0 0.060130469691429836 0.9293945254597626 0.3641579434993554
22.13 1.0 0.0 0.0 0.0 0.0 0.9970792400902145 -0.07313337000524742 0.022011058180725154 0.0 0.04720329367650858 0.3635419995382127 -0.9303815094734523 0.0 0.06004046698281385 0.9287030684570791 0.3659323374894644
22.14 1.0 0.0 0.0 0.0 0.0 0.997085099481381 -0.07308812737350424 0.021895603623794738 0.0 0.04719494299855167 0.3653372188052783 -0.9296783826919675 0.0 0.05994965350418656 0.9280018097032585 0.3677217081413731
22.15 1.0 0.0 0.0 0.0 0.0 0.9970909456652938 -0.07304275595170959 0.021780478046932734 0.0 0.047187736032802886 0.36714749030660926 -0.9289652452634863 0.0 0.05985801874444351 0.927290591274917 0.36952618164717854
22.16 1.0 0.0 0.0 0.0 0.0 0.9970967788249384 -0.07299725451881214 0.02166568159076901 0.0 0.04718167820334193 0.3689729406449664 -0.9282419361076036 0.0 0.059765552032011116 0.9265692523063044 0.3713458846866226
22.17 1.0 0.0 0.0 0.0 0.0 0.9971025991274292 -0.07295162208961921 0.021551214360503498 0.0 0.04717677111587745 0.3708136227114932 -0.9275083620714829 0.0 0.05967224771472107 0.9258376996873676 0.37318087013556067
22.18 1.0 0.0 0.0 0.0 0.0 0.99710840676891 -0.07290585721020658 0.021437076578617535 0.0 0.04717302352094022 0.372669729182461 -0.9267642935983189 0.0 0.05957809023444635 0.9250957042399205 0.37503133082531603
22.19 1.0 0.0 0.0 0.0 0.0 0.9971142019409611 -0.07285995848510832 0.021323268470922085 0.0 0.04717044310386311 0.3745414326914129 -0.9260095175116986 0.0 0.05948306529093231 0.9243430531221307 0.37689743951807225
22.2 1.0 0.0 0.0 0.0 0.0 0.9971199848236298 -0.07281392468670078 0.021209790243055464 0.0 0.04716903477809745 0.37642885262876913 -0.9252438686703031 0.0 0.05938716215646918 0.9235795814044068 0.3787793156655374
22.21 1.0 0.0 0.0 0.0 0.0 0.9971257555967971 -0.07276775457685834 0.021096642119269607 0.0 0.04716880345715103 0.3783321091453779 -0.9244671782048219 0.0 0.05929036989645596 0.9228051204348227 0.3806770794788539
22.22 1.0 0.0 0.0 0.0 0.0 0.9971315144401512 -0.0727214469073838 0.02098382434251481 0.0 0.0471697540438186 0.380251322973529 -0.9236792735849435 0.0 0.059192677376424384 0.9220194979058016 0.3825908517493023
22.23 1.0 0.0 0.0 0.0 0.0 0.9971372615331623 -0.07267500042043853 0.020871337174523802 0.0 0.04717189141941258 0.3821866152479785 -0.922879978686342 0.0 0.059094073269062325 0.9212225379207948 0.38452075366901645
22.24 1.0 0.0 0.0 0.0 0.0 0.9971429970550559 -0.072628413848973 0.02075918089589647 0.0 0.04717522043299356 0.3841381073269627 -0.9220691138576679 0.0 0.05899454606123774 0.9204140610609645 0.3864669066516869
22.25 1.0 0.0 0.0 0.0 0.0 0.9971487211847874 -0.07258168591715687 0.02064735580618395 0.0 0.04717974589060095 0.3861059206132229 -0.9212464959875344 0.0 0.0588940840610221 0.919593884451863 0.388429432153276
22.26 1.0 0.0 0.0 0.0 0.0 0.9971544341010153 -0.07253481534080944 0.020535862223973293 0.0 0.04718547254448357 0.38809017637502 -0.9204119385715086 0.0 0.05879267540471431 0.9187618218301159 0.39040845149272224
22.27 1.0 0.0 0.0 0.0 0.0 0.9971601359820764 -0.07248780082782993 0.020424700486971772 0.0 0.04719240508233022 0.3900909955671556 -0.919565251779099 0.0 0.05869030806386427 0.917917683610102 0.3924040856726519
22.28 1.0 0.0 0.0 0.0 0.0 0.997165826984871 -0.07244064143029724 0.020313870783113544 0.0 0.047200543931150744 0.39210840855008783 -0.9187063579406022 0.0 0.05858697772087037 0.9170613921195927 0.3944163650123545
22.29 1.0 0.0 0.0 0.0 0.0 0.9971715073112004 -0.0723933354382028 0.02020337368241383 0.0 0.04720989841772652 0.3941426384600243 -0.9178349283898706 0.0 0.058482663013742726 0.9161926192317901 0.39644551278767143
22.3 1.0 0.0 0.0 0.0 0.0 0.9971771771435325 -0.07234588145064211 0.020093209622550855 0.0 0.04722047401431034 0.3961938266881307 -0.9169507349610889 0.0 0.058377349501319675 0.9153111370978562 0.3984916704485597
22.31 1.0 0.0 0.0 0.0 0.0 0.9971828366568386 -0.07229827817842416 0.01998337900400387 0.0 0.04723227468220016 0.39826208338567554 -0.916053585129777 0.0 0.05827102524406092 0.9144167534287446 0.40055494817220794
22.32 1.0 0.0 0.0 0.0 0.0 0.9971884860258534 -0.07225052432299002 0.019873882248523673 0.0 0.047245304307123905 0.40034751841775895 -0.915143282199018 0.0 0.05816367809226074 0.9135092717678143 0.40263545584611193
22.33 1.0 0.0 0.0 0.0 0.0 0.9971941254250379 -0.07220261857703353 0.0197647197991259 0.0 0.047259566686205054 0.4024502411355651 -0.914219625428912 0.0 0.058055295697330235 0.9125884916198398 0.40473330283997033
22.34 1.0 0.0 0.0 0.0 0.0 0.9971997550285417 -0.07215455962512189 0.019655892120083646 0.0 0.04727506551492822 0.40457036014862663 -0.9132824101660247 0.0 0.057945865523078996 0.9116542085800161 0.4068485977775932
22.35 1.0 0.0 0.0 0.0 0.0 0.9972053750101663 -0.07210634614431632 0.019547399696920712 0.0 0.04729180437410476 0.40670798309707773 -0.9123314279728406 0.0 0.05783537485699734 0.9107062144629691 0.4089814483087979
22.36 1.0 0.0 0.0 0.0 0.0 0.9972109855433264 -0.0720579768047927 0.019439243036404437 0.0 0.047309786716838324 0.4088632164239146 -0.9113664667572133 0.0 0.05772381082153816 0.9097442974317614 0.4111319608813141
22.37 1.0 0.0 0.0 0.0 0.0 0.9972165868010141 -0.07200945027046209 0.019331422666538544 0.0 0.04732901585549049 0.4110361651472564 -0.9103873109018151 0.0 0.05761116038539873 0.9087682421269004 0.41330024051268743
22.38 1.0 0.0 0.0 0.0 0.0 0.9972221789557604 -0.07196076519959152 0.01922393913655636 0.0 0.047349494948646334 0.4132269326325979 -0.909393741393591 0.0 0.05749741037480301 0.907777829795347 0.41548639056217634
22.39 1.0 0.0 0.0 0.0 0.0 0.997227762156079 -0.07191192069396181 0.01911679256046858 0.0 0.047371225314243315 0.4154355553865002 -0.9083857211631361 0.0 0.057382558720895385 0.9067730233138456 0.4176904475368031
22.4 1.0 0.0 0.0 0.0 0.0 0.997233336604594 -0.07186291480878748 0.019009984134037834 0.0 0.04739421197948433 0.41766221878324056 -0.9073627796743454 0.0 0.05726657712813162 0.9057533528270345 0.41991259677538256
22.41 1.0 0.0 0.0 0.0 0.0 0.9972389024723605 -0.07181374618663254 0.018903514472681703 0.0 0.04741845757272673 0.41990702022535126 -0.9063246874737256 0.0 0.057149452000522474 0.904718589147076 0.4221529356550119
22.42 1.0 0.0 0.0 0.0 0.0 0.9972444599279812 -0.07176441350202922 0.018797384177270067 0.0 0.04744396438531753 0.4221700494626035 -0.9052712267356406 0.0 0.05703117052475391 0.9036685146896795 0.4244115538939349
22.43 1.0 0.0 0.0 0.0 0.0 0.9972500091396167 -0.07171491542304842 0.018691593873856483 0.0 0.04747073450428498 0.4244513940213691 -0.9042021752671972 0.0 0.056911719703241645 0.9026029075060201 0.4266885389794398
22.44 1.0 0.0 0.0 0.0 0.0 0.9972555502749371 -0.0716652506121293 0.018586144213458375 0.0 0.0474987697985242 0.4267511389466043 -0.9031173067239935 0.0 0.05679108637064838 0.9015215414978973 0.4289839759094924
22.45 1.0 0.0 0.0 0.0 0.0 0.9972610835010735 -0.07161541772690896 0.01848103587183755 0.0 0.04752807190498286 0.4290693665438261 -0.9020163908258712 0.0 0.05666925721040158 0.9004241866328961 0.4312979469343618
22.46 1.0 0.0 0.0 0.0 0.0 0.9972666089845696 -0.07156541542105202 0.018376269549280188 0.0 0.04755864221484683 0.4314061561211 -0.9008991935726615 0.0 0.056546218771210514 0.8993106091595431 0.4336305312982583
22.47 1.0 0.0 0.0 0.0 0.0 0.997272126891334 -0.07151524234508025 0.01827184597037742 0.0 0.047590481859725864 0.43376158373101564 -0.899765477459938 0.0 0.05642195748358401 0.8981805718224686 0.4359818049809578
22.48 1.0 0.0 0.0 0.0 0.0 0.9972776373865911 -0.07146489714720218 0.018167765883805295 0.0 0.047623591697839265 0.4361357219126745 -0.898615001694763 0.0 0.05629645967634755 0.8970338340775625 0.4383518404394395
22.49 1.0 0.0 0.0 0.0 0.0 0.9972831406326365 -0.07141437852464033 0.018064029979090297 0.0 0.047657972979043534 0.43852864450340756 -0.8974475494759645 0.0 0.05616971297587131 0.8958701793417649 0.44074071144870297
22.5 1.0 0.0 0.0 0.0 0.0 0.9972886367774114 -0.07136368548602018 0.017960638456400255 0.0 0.04769363084718208 0.4409404526402521 -0.8962630683946414 0.0 0.05604171348454263 0.8946895552381333 0.44314851925543747
22.51 1.0 0.0 0.0 0.0 0.0 0.9972941260096402 -0.07131281608348691 0.01785759311201735 0.0 0.04773055727086723 0.4433711471284077 -0.8950609906737632 0.0 0.055912431057709676 0.893491394585956 0.44557526420620924
22.52 1.0 0.0 0.0 0.0 0.0 0.9972996084897334 -0.07126176900094403 0.017754894728507584 0.0 0.047768752369323896 0.4458207875524984 -0.8938410841675709 0.0 0.05578185278622548 0.892275465459782 0.44802100578415566
22.53 1.0 0.0 0.0 0.0 0.0 0.9973050843773573 -0.07121054291997175 0.017652544118259055 0.0 0.0478082158634168 0.44828942827610824 -0.8926031122919571 0.0 0.05564996562798981 0.8910415314950931 0.4504857982378879
22.54 1.0 0.0 0.0 0.0 0.0 0.9973105538313756 -0.0711591365208688 0.017550542122913772 0.0 0.0478489470646874 0.45077711820505223 -0.8913468343539019 0.0 0.055516756430274865 0.889789352217023 0.4529696903445351
22.55 1.0 0.0 0.0 0.0 0.0 0.9973160170097918 -0.07110754848369408 0.017448889612798966 0.0 0.047890944864391195 0.45328390055065987 -0.8900720058809022 0.0 0.05538221195205041 0.88851868336907 0.4554727251728011
22.56 1.0 0.0 0.0 0.0 0.0 0.9973214740696921 -0.07105577748930846 0.017347587486358944 0.0 0.047934207722534664 0.4558098125930451 -0.8887783789504075 0.0 0.055246318886309514 0.887229277241818 0.4579949398460078
22.57 1.0 0.0 0.0 0.0 0.0 0.9973269251671872 -0.07100382222041642 0.017246636669586375 0.0 0.0479787336569125 0.4583548854443904 -0.8874657025192488 0.0 0.0551090638823936 0.8859208830016487 0.46053636530515213
22.58 1.0 0.0 0.0 0.0 0.0 0.9973323704573557 -0.07095168136260795 0.01714603811545415 0.0 0.0480245202321446 0.4609191438122162 -0.8861337227530758 0.0 0.05497043356831827 0.8845932470194627 0.463097026071949
22.59 1.0 0.0 0.0 0.0 0.0 0.9973378100941853 -0.07089935360540005 0.01704579280334669 0.0 0.048071564548713315 0.4635026057626652 -0.8847821833557846 0.0 0.05483041457309833 0.8832461131993916 0.4656769400118887
22.6 1.0 0.0 0.0 0.0 0.0 0.9973432442277675 -0.07084683773960249 0.016945901473504176 0.0 0.04811986863783629 0.46610535277340653 -0.8834108941053286 0.0 0.05468899596571434 0.8818792915060737 0.46827618857300646
22.61 1.0 0.0 0.0 0.0 0.0 0.9973486730064542 -0.07079413258077344 0.016846364839893893 0.0 0.04816943509625881 0.4687274728806433 -0.8820196762448829 0.0 0.0545461673309035 0.8804926033614009 0.4708948597827716
22.62 1.0 0.0 0.0 0.0 0.0 0.9973540965901987 -0.07074123650064024 0.01674718488157208 0.0 0.048220240719474505 0.47136871774965616 -0.8806080302763419 0.0 0.05440190700930298 0.8790855494754184 0.4735327044111222
22.63 1.0 0.0 0.0 0.0 0.0 0.997359515127322 -0.07068814824042535 0.01664836260751646 0.0 0.04827228207734269 0.4740290951797169 -0.8791757114635916 0.0 0.054256202498935 0.8776578852829487 0.4761897300444403
22.64 1.0 0.0 0.0 0.0 0.0 0.9973649287648509 -0.07063486654755527 0.016549899058339056 0.0 0.04832555505624386 0.4767086030058364 -0.8777224721800645 0.0 0.05410904133689753 0.8762093633200032 0.4788659342832025
22.65 1.0 0.0 0.0 0.0 0.0 0.9973703376484554 -0.07058139017685328 0.016451795305303385 0.0 0.04838005485657608 0.47940722897202787 -0.8762480623449103 0.0 0.05396041112547185 0.8747397336592239 0.4815613046153076
22.66 1.0 0.0 0.0 0.0 0.0 0.9973757419223872 -0.07052771789173164 0.0163540524493411 0.0 0.04843577599025161 0.4821249506045852 -0.874752229859158 0.0 0.053810299558229274 0.8732487443453185 0.48427581828941946
22.67 1.0 0.0 0.0 0.0 0.0 0.997381141729418 -0.07047384846538429 0.01625667162006911 0.0 0.04849271227819337 0.4848617350853474 -0.8732347210418865 0.0 0.05365869444613868 0.8717361418305017 0.4870094421882956
22.68 1.0 0.0 0.0 0.0 0.0 0.9973865372107775 -0.07041978068197924 0.01615965397480641 0.0 0.04855085684783147 0.48761753912497185 -0.8716952810663893 0.0 0.0535055837436735 0.8702016714099324 0.4897621327021254
22.69 1.0 0.0 0.0 0.0 0.0 0.9973919285060913 -0.07036551333785092 0.016063000697590864 0.0 0.04861020213059981 0.4903923088362085 -0.8701336543963397 0.0 0.05335095557491866 0.8686450776571503 0.49253383560186803
22.7 1.0 0.0 0.0 0.0 0.0 0.9973973157533189 -0.07031104524269281 0.01596671299819637 0.0 0.04867073985943248 0.4931859796071636 -0.8685495852219612 0.0 0.05319479825967816 0.8670661048595174 0.49532448591258144
22.71 1.0 0.0 0.0 0.0 0.0 0.9974026990974832 -0.07025637515693123 0.01587079174774339 0.0 0.04873247525997512 0.49599869368136856 -0.8669428309215403 0.0 0.05303709692336153 0.8654645107239852 0.49813422592784523
22.72 1.0 0.0 0.0 0.0 0.0 0.9974080786719048 -0.07020150192869865 0.015775238250900835 0.0 0.048795396849459466 0.49883033683693434 -0.8653131347847928 0.0 0.05287784079145948 0.8638400385785086 0.5009629409649815
22.73 1.0 0.0 0.0 0.0 0.0 0.9974134545946005 -0.07014642452073114 0.01568005439127724 0.0 0.04885947071718239 0.5016804505707658 -0.863660221202608 0.0 0.05271702459165346 0.8621924124623863 0.5038101713744073
22.74 1.0 0.0 0.0 0.0 0.0 0.99741882699769 -0.07009114179761407 0.015585241412146218 0.0 0.048924688105371095 0.5045489618175851 -0.8619838397697359 0.0 0.05255463712729993 0.8605213820495028 0.5066758437146496
22.75 1.0 0.0 0.0 0.0 0.0 0.9974241960111508 -0.07003565264446622 0.015490800584504432 0.0 0.04899103927563183 0.5074357820185795 -0.8602837417408941 0.0 0.052390667592899426 0.8588266986526875 0.5095598690215147
22.76 1.0 0.0 0.0 0.0 0.0 0.9974295617627651 -0.06997995596806962 0.015396733205730949 0.0 0.049058513520419386 0.5103408072089888 -0.8585596804797602 0.0 0.05222510559684098 0.8571081156722217 0.512462142896169
22.77 1.0 0.0 0.0 0.0 0.0 0.9974349243780662 -0.06992405069799913 0.015303040598246305 0.0 0.04912709917450687 0.5132639181057023 -0.856811411907961 0.0 0.05205794118414593 0.8553653890443392 0.5153825455932274
22.78 1.0 0.0 0.0 0.0 0.0 0.9974402839802861 -0.06986793578775195 0.015209724108171547 0.0 0.04919678362645541 0.5162049801948575 -0.855038694954059 0.0 0.0518891648592118 0.8535982776897274 0.5183209421088433
22.79 1.0 0.0 0.0 0.0 0.0 0.997445640690301 -0.06981161021587748 0.015116785103987609 0.0 0.0492675533300837 0.5191638438194265 -0.8532412920025472 0.0 0.05171876760855668 0.851806543962033 0.5212771822687878
22.8 1.0 0.0 0.0 0.0 0.0 0.9974509946265793 -0.06975507298710676 0.015024224975194202 0.0 0.049339393815937826 0.522140344266819 -0.8514189693428326 0.0 0.05154674092356282 0.8499899540963606 0.5242511008165448
22.81 1.0 0.0 0.0 0.0 0.0 0.9974563459051278 -0.06969832313348225 0.014932045130969218 0.0 0.049412289702760785 0.5251343018564686 -0.8495714976182316 0.0 0.05137307682322105 0.848148278657779 0.5272425175013885
22.82 1.0 0.0 0.0 0.0 0.0 0.9974616946804373 -0.0696413591252688 0.01484024674197413 0.0 0.04948624676890989 0.5281459112176583 -0.8476984260556341 0.0 0.051197747967886474 0.8462810675529189 0.5302516269459807
22.83 1.0 0.0 0.0 0.0 0.0 0.9974670410343485 -0.06958418047120303 0.01474883143492416 0.0 0.049561232195298295 0.5311746869173607 -0.8457996958260072 0.0 0.05102076162280845 0.8443882612701268 0.533277942678128
22.84 1.0 0.0 0.0 0.0 0.0 0.9974723850401608 -0.06952678679594212 0.014657800889276394 0.0 0.049637209100258234 0.5342200726230488 -0.843875286464498 0.0 0.05084212852369123 0.8424698385235518 0.536320907216295
22.85 1.0 0.0 0.0 0.0 0.0 0.9974777268084014 -0.06946917718154845 0.014567156548822355 0.0 0.04971416120584002 0.5372818761604277 -0.841924963490233 0.0 0.05066184064858307 0.8405255647469126 0.5393803277864239
22.86 1.0 0.0 0.0 0.0 0.0 0.9974830664462965 -0.06941135075129534 0.014476899873918234 0.0 0.04979207107123486 0.540359885384211 -0.8399485021838047 0.0 0.050479890895194064 0.8385552150980752 0.542455991611454
22.87 1.0 0.0 0.0 0.0 0.0 0.9974884040577482 -0.06935330667036556 0.014387032339956337 0.0 0.04987092012035779 0.5434538685499938 -0.8379456878710217 0.0 0.05029627308909793 0.8365585747428886 0.5455476662841168
